Subject,Text,Type
With Due Respect,"FROM THE DESK OF IBRAHIM MUSSA,
BILL AND EXCHANGE MANAGER,
AFRICAN DEVELOPMENT BANK(ADB)
OUAGADOUGOU,BURKINA FASO.WEST AFRICA.

With Due Respect


I am the manager of bill and exchange at the foreign remittance department 
of african development bank (ADB). I crave your indulgence as i contact you 
in such a surprising manner. But I respectfully insist you read this letter 
carefully as I am optimistic it will open doors for unimaginable financial 
rewards for both of us.

In my department we discovered an abandoned sum of Ten Million,Five  Hundred 
Thousand US dollars (US$10.5m) only , in an account that belongs to one of 
our foreign customer who died along with his entire family in November 2001 
in a plan crash. Since we got information about his death, we have been 
expecting his next of kin to come over and claim his money because we cannot 
release it unless somebody applies for it as next of kin or relation to the 
deceased as indicated in our banking guidelines but unfortunately we learnt 
that all his supposed next of kin or relation died along with him at the 
plan crash leaving nobody behind for the claim.

It is therefore upon this discovery that I now decided to make this business 
proposal to you so that the money could be released to you as the next of 
kin or relation to the deceased for safety and subsequent disbursement since 
nobody is coming for it and i dont want this money to go into the bank 
treasury as unclaimed Bill.

The Banking law and guideline here stipulates that if such money remained 
unclaimed after five years, the money will be transferred into the Bank 
treasury as ""unclaimed fund"". The request for a foreigner as next of kin in 
this business is occasioned by the fact that the customer was a foreigner 
and a Burkinabe cannot stand as next of kin to a foreigner. We agree that 
30% of this money will be for you as a foreign partner, in respect to the 
provision of a foreign account , 10% will be set aside for expenses incurred 
during the business and 60% would be for me.

There after I will visit your country for disbursement according to the 
percentages indicated. Therefore to enable the immediate transfer of this 
fund to you as arranged, you must apply first to the bank as relation or 
next of kin of the deceased indicating your bank name,your bank account 
number, your private telephone and fax number for easy and effective 
communication and location wherein the money will be remitted. Upon receipt 
of your reply,

I will send to you by fax or email the text of the application.I will not 
fail to bring to your notice that this transaction is hitch free and that 
you should not entertain any atom of fear as all required arrangements have 
been made for the transfer. You should contact me immediately as soon as you 
receive this letter. Trusting to hear from you immediately.

Yours faithfully,
ibrahim mussa,
Bill and exchange manager,
African Development bank ADB",Phishing
Miss Joy Kem,"Dear

Please let this letter not to bring confusion to you. I 
know that we have not met either before but hear me from 
the dept of your mind. It is circumstances that made to 
send this to you.

I will introduce myself first to you, My name is Miss Joy Kem, I lost my mother, my hero and my lord Ms Kem a 
year ago. She was poisioned to death by her associate in 
business. She formed a company by one Mr. Philip Brown who poisioned her only to take benefit of the multi million venture. He was arrested immedaitely my mother died and he 
entered an agreement with my mother's brothers that I and the immedaite younger brother of my mother will represent my mother's interest in the company. After six months I was kicked out of the company because I said that we have to change the company's lawyer who I termed was part of the elimination of my mother. I did not know that they have changed all the company's document without my name appearing any where. I will have to let you know more detail on that but let me move to the point why I am 
contacting you.

I have been nick named bastard by my mother's relations, 
They have named me all source of names even calling me 
outcast because my mother is late, while my mother was the bread winner of the family. They have pushed me out of my mother's mansion and still want to eliminate my life.I got through the records of my mother account books three weeks ago while crying and meditating, which I beleive was inspired by the spirit of God, I discovered that there is a huge sum of money she deposited in a bank, which is $9,800,000. The note attached to the deposit agreement 
she made with the bank indicated that, the money was to be used to purchase machinery for the establishment of a new company of her own.

Please all I need from you is to do all you can to help me to get this money out of the bank. I have been to the bank where this money is deposited immediately, and confirmed the account most deligently. The bank told me that my mother informed them that the money was to be remitted 
to her company's costumer account abroad, which her costumer will provide to them but since then they have never heard from her nor the costumer. Now my mother is late. I don't want the bank to know that my mother 
is late. I told them that she is ill and appointed me to represent her in her affairs.

(1).I want you to provide an account where the money will 
be remitted into as my mother's costumer. (2).Make 
arrangement for me to leave here as soon as possible
(3).How much commission you will take for rendering the 
assistant?

My mother did not marry to any man, She had me as the only 
child while she was having an affair with the person that 
surpposed to be my father when she was 18 years and the 
man abandoned her and disappeared which forced her to 
remain single. Now I am 20 years and never saw my father 
for a day.I have no home now and my life is in danger. I 
don't have any one to run into. All the members of my 
mother family have turned their back on me because I 
demand for me right. They told me that I don't belong to 
the family. That I should go and look for my father, Whom 
I don't know. I have made trace to know my father without 
sucess. I want you to hear me from the inner most of your 
heart and accord me this help.

God will bless you for saving my life and future.

Best wishes,
Miss Joy Kem.",Phishing
Season's Greetings!,"Season's Greetings!



Forgive my indignation if this message comes to you as a 

surprise and may offend your personality for contacting you without 

your prior consent and writing through this channel.I got your contact 

from a professional database found in internet while searching for a 

reliable and honest person that will be an anointed steward in a vision 

very dear to me.



I am Mrs. Alondra Jose-Carlos person from Puerto Rico 

undergoing medical treatment. I am married to Dr.  Kevin Jose-Carlos 

who was a gun runner supplying arms and ammunition to warring factions 

in Africa before he died in the year 2002.We were married for eleven 

years without a child. He died after a brief illness that lasted for 

only four days. Since his after death, I decided not to re-marry or get 

a child outside my matrimonial home. When my late

husband was alive he  deposited the sum of  £ 11.8.Million (Eleven Million,

Eight Hundred Thousand British Pounds Sterling) with a Fiduciary company. 

Presently ,this money is still with the Fiduciary Company. Recently, 

my doctor told me that I would not last for the next

three months due to cancer problem.  Though what disturbs me most is my partial

paralysis. Having known my condition I decided to donate this fund to an

organisation or individual that will utilize this money the way I am going

to instruct here in. I want an organisation or individual that will use this to

fund, women and youth groups, victims of war, environmental protection,

charities, orphanages and widows . It is said that blessed is the hand 

that giveth.



I took this decision because I don't have any child that 

will inherit this money and as a part of restitution for the atrocities 

of my husband which I tacitly supported. I don't want a situation where 

this money will be used in an ungodly manner , hence the reason for 

taking this bold decision.



I am not afraid of death, hence I know where I am going .I know that I am

going to be in the bosom. If you consider yourself adequately equipped morally and

spiritually for this mission, please ,respond by letting me know your

decision to alondracarlos@sify.com



Yours sincerely,



Mrs. Alondra Jose-Carlos",Phishing
URGENT MESSAGE....,"RE: COLLECTION OF FUND (US$25,000,000.00) UNDER SPECIAL ARRANGEMENT.
 
Pardon me if I have offended you by contacting you for such a big 
transaction through an ordinary letter which makes it suspicious 
considering the type of fraud proposals moving around the world today. 
 
However, I was advised to explain this transaction to you on a face 
to face meeting. I could not do this because of the situation in the 
world today not being sure of your reaction.
 
I am Jones Martin, a 
Consultant and Broker from Kingston Jamaica. I was hired by a Japanese 
Businessman to broker an investment deal between him and an oil company 
in Venezuela. This deal was executed in January, 2003 and matured for 
termination in January 2005. On maturity, the Japanese Businessman and 
the oil firm decided to terminate the investment in cash to avoid 
payment of investment tax which amounted to several tens of millions of 
US Dollars to the American Internal Revenue Service (IRS). 
 
A special 
arrangement was made between a top Japanese banker working with 
Japanese bank in New York, the Oil Company and the businessman to 
terminate the investment in cash payment under a fictitious name, with 
an arrangement to change it later with a power of attorney which they 
prepared and handed over to The banker.
 
I was directly involved, well 
paid and mandated to organized and carry out the deal. All the cash was 
withdrawn in June 2005 and transported to EUROPE by direct bank vault 
delivery to a finance company for safekeeping pending the collection.
 
The real content of the boxes was not declared to the storage as it was 
delivered as personal family treasure worth US$25M.The certificates for 
the storage, secret codes for the opening of the boxes and its keys 
were all handed over to me.
 
Mr. Takashi the Florida businessman was 
planning to go to Europe by August 2005 with me for the collection when 
the unexpected happened in Hurricane Katrina Mishap, a natural disaster 
which claimed his life and that of the top banker. This left me 
devastated and confused as I have not yet handed over the deposit 
details to the owner and the power of attorney prepared for the change 
which was signed was still with the banker in his office which was 
lost.

Since last December the diplomatic storage manager has been 
calling me to bring or tell the owner to come over for collection. 
Since then, I have been finding any reliable person to collect these 
consignments under special and well negotiated arrangement until I came 
across your details. Be rest assured that this transaction has been 
well organized, 100% safe, legal, and should be kept very 
confidential. 

Signify your interest by getting back to me via my 
email as soon as possible.
 
Regard,

Jones Martin",Phishing
URGENT REPLY ,"FROM THE DESK OF  DR. JERRY BERRY
THE MANAGER OF AUDIT AND ACCOUNTING DEPT,
BANK OF AFRICA (BOA)
OUAGADOUGOU, BURKINA-FASO.

I MAKE THIS APPEAL WITH THE UNDERSTANDING THAT ANY FACTS OR OPINION
EXPRESSED BY ME ARE GIVING IN CONFIDENCE AND SOLELY FOR YOUR PERSONAL
INFORMATION AND USE.

I am DR. JERRY BERRY the manager of bill and exchange at the foreign
remittance department of my Bank. In my department I discovered an abandoned 
sum of US$12.5M,(Twelve Million, Five Hundred Thousand US Dollars) with 
account number 14-2558-5976 that belongs to one of our foreign customers who 
died along with his wife and only daughter in a plane crash of Alaska 
Airlines Flight number 261 which crashed on 31 January, 2000. You can read 
more about the crash on visiting this site 
http://www.cnn.com/2000/US/02/01/alaska.airlines.list/

The owner of this account is Mr. Morris Thompson an American and great 
industrialist and a resident of Alaska. It is therefore upon this discovery 
that I now decided to make this  business proposal to you and for our bank 
to release the money to you. You have to follow the instruction which I will 
send to you as the next of  kin or relation to the deceased for safety and 
subsequent disbursement  since nobody is coming for it and I don't want this 
money to go into our bank treasury as unclaimed bill.

The banking law and guidelines here stipulates that if such money  remained 
unclaimed after four years, the money will be transfered into the bank 
treasury as unclaimed fund. The money has now stayed more than four years 
and I am preparing documentaion to prove that this money has been transfered 
to our bank treasury. It will be between me and you only  that will know 
that the money is not transfered into our treasure.

The request of foreigner as next of kin in this transaction is occasioned by 
the fact that the customer was a foreigner and a Burkinabé cannot stand as 
next of kin to a foreigner.In appreciation of your assistance, I am offering 
you 30% of the total  sum. 5% for contingencies (cost of transfer/other 
charges) likely to be incurred during the course of transaction, while the 
remaining 65% is for me.

Upon receipt of your reply, I will send to you by fax or email  the text of 
the application which you will complete and forward to our bank asking for 
this money to be paid to you as the next of kin to Mr. Morris Thomson. I 
will not fail to bring to your notice that this transaction is hitch-free 
and that you should not entertain any fear as all required arrangements have 
been made for the transfer. You should contact me immediately as soon as you 
receive this mail through the above email.

PLEASE DO NOT HESITATE TO CONTACT ME IMMEDIATELY  YOU CONSIDER MY URGENT 
REQUEST.

Yours Faithfully,
DR. JERRY BERRY",Phishing
From: Mr.Al-Zarqawi Yusuf ,"Dear Friend,

Your first reaction to this mail will be total rejection, scare and maybe
disbelief, owning largely to the atrocities people commit these days.But
this mail comes from a devastated, sorrowful and emotional laden soul that
needs compassion from a kind and good spirited person to wipe away my
tears and appropriate my dream and humanitarian gesture.

As you read this, I don't want you to  feel sorry for me, because, I
believe everyone dies someday.,I am Al-Zarqawi Yusuf, A Oil merchant in
Dubai, United Arab Emirate ( UAE). I have been diagnosed with Cancer,
which was discovered very late, due to my laxity in caring for my health.
It has defiled all forms of medicine; Right now I have only about a
limited to live, according to my Medical Doctor. I have not particularly
lived my life so well, as I never really cared for myself but the Oil
business.Though I am very rich, I was never generous, I only focused on my
business as that was the only thing I cared for. But now I regret all this
as I now know that there is more to life than just wanting to have or make
all the money in the world.

I believe when Allah  gives me a second chance and  heal me I would live
my life a different way from how I have lived it.I have sowed a seed for
my healing I have willed and given most of my properties and assets to my
immediate and extended family members and as well as a few close friends.
i want Allah to be merciful to me and accept my soul and so, I have
decided to give arms to charity organizations and give succor and comfort
to the less privileged of the Tsunami and Hurricane Katrina Victims, as I
want this to be one of the last good deeds I do on earth so far, by
distributed some of this money to some charity organizations in
India,Hurricane Katrina victims in USA and other part of the world. Now
that my health has deteriorated so badly, I cannot do this my self
anymore.I once asked members of my family  to close one of my accounts in
Saudi Bank and distribute the money which I have there to charity
organization and to the less  privileged in Bulgaria and Sudan.  They
cashed the money but kept it only to themselves.

Hence I do not trust them anymore,as they seem not to be contended with
what I have left for them already.The last of my money, which no one knows
of, is the huge cash deposit of Thirty Five Million United States Dollars
( US$35Million)  that I have in the Vault of The Security Company as
family valuable since the year 2003 for safekeeping.I want you to collect
this deposit on my behalf and disburse it to the Tsunami Earthquake
victims in Asia for the less privileged. Please send me a mail to indicate
your wiliness to assist in this disbursement.

 I will set aside 10% for you for your time and efforts by notifying the
security company as soon as i hear from you.I need your urgent reply with
your full name and address, your Phone and Fax numbers and your
Occupation so that I will not have to go on sourcing for a credible
person to handle this project for himself and the rest of the less
privileged.I will also plead to you to always pray for me because only
Allah heals.


Wasaalam

Regards,
Al-Zarqawi Yusuf.",Phishing
COMPERSATION,"Hello my good friend.

How are you today? Hope all is well with you and your family?,You may not
understand why this mail came to you.But if you do not remember me, you
might have receive an email from me in the past regarding
amulti-million-dollar business proposal which we never concluded.

I am using this opportunity to inform you that this multi-million-dollar
business has been concluded with the assistance of another partner from
Germany who financed the transaction to a logical conclusion.

I thank you for your great effort to our unfinished transfer of fund into
your account due to one reason or the other best known to you.But I want
to inform you that I have successfullytransferred the fund into my new
partner's account in Germany, who was eventually, capable of assisting me
in this great venture.

Due to your effort, sincerity, courage and trust worthiness You showed
during the course of the transaction.I want to compensate you and show my
gratitude to you with the sum of $1,200,000.00. I have left a certified
international bank draft for you worth of $1,200,000.00 cashable
everywhere in the world.

My dear friend I will like you to contact my Account Officer with
Continental Trust Bank Plc,Abuja-Nigeria,his name is MR.Johnson, on his
direct email address at (fundexecutive_john@myway.com) Telephone +234 80
509 729 04 for the collection of your certified Bank Draft. I authorized
him to release the Bank Draft to you whenever you contact him regarding
for it.

At the moment, I'm very busy here because of the investment projects,whic=
h
I and the new partner are having at hand.Please I will like you to accept
this token with good faith as this is from the bottom of my heart, Also
comply with Mr.Johnson's directives so that he will send the draft

to you without any delay.

CONTACT: MR.Johnson.
Account Officer,Continental
Trust Bank Plc.
Abuja- Nigeria.
Tel: +234 80 509 729 04.
His email address:[fundexecutive_john@myway.com]

Therefore, you should send him your full Name and telephone number/your
correct mailing address where you want him to send the draft to you, or
your account information for depositing the Bank Draft.

Thanks and God bless you and your family.

Hoping to hear from you as soon as you cash your Bank Draft.

Tony Adams.
Frankfurt-Germany.",Phishing
VERY IMPORTANT,"KEEP CONFIDENTIAL PLEASE.
Attn: Sir/Madam.
This letter may come to you as a surprise but I really prayed to God to
help me choose somebody that will be my true partner, a person who has
a fear of God that cannot betray my remaining family and me as I don't
even know whom to trust so I allowed the spirit of God to lead me.
I am Mrs. Patricia Jonas Savimbi, wife to the late leader of the
National Union of the Total Liberation of Angola (UNITA) After
surviving more than a dozen assassination attempts, my husband, Savimbi
was killed four years later, in February 2002, in a battle with Angolan government
troops.
Two weeks before he died, he called me and reveals the existence of
US$16,400.000.00 (SIXTEEN Million, FOUR HUNDRED THOUSAND 
United States Dollars) which he deposited as valuable items with a Finance and Security Company in South Africa.
This money was income my late husband accumulate from the sale of Gold
& Diamond with top member's of the National Union of the Total Liberation
of Angola.
When I heard the bad news of my husband's death, his trusted aid moved
me and members of our family out on hiding, but unfornately my elder
son and myself were caught and place under house arrest. Luckily to us, my
second son has escaped to South Africa through the border where he
reside as a political refugee.
So my reason of contacting you is because of the problem which my son
is facing in trying to transfer the money, the labour law of South Africa
does not permit an asylum seeker (Refugee) the right to financial
transaction.
This was the basic reason why I decide to contact you, so that you will
stand as the beneficiary of the fund. If we agree on this, then the
ownership of the consignment/funds and every documents will
automatically be changed to your name.
We are offering you 30% of the total money, as a commission for your
services, while 70% goes to my family, which we intend to invest
immediately we are being released from house arrest.
I am assuring you that this transaction is risk free, all we need from
you is your co-operation and sincerity of purpose.
You will be contacting my son Peter Savimbi on Email:
petersavimbi8@webmail.co.za  for more  details on how to conclude this
transaction.
I will wait for your response through my son, thank you and God bless.
In your email to my son Peter, kindly forward to him the following as
it will be used during the process of change of ownership:
1 You're Full Name
2.You're Contact (Home) Address
3.Your Telephone Moble/Home,and Fax number
4.You can also call my son on his phone number in South Africa +27
724340319.
Thanks and may the almighty father guide us through.
Thank you.
Mrs. Patricia Jonas Savimbi
For: Savimbi Family.
ALTERNATIVE EMAIL: petersavimbi5@webmail.co.za",Phishing
LETTER,"Dear Friend,


With great pleasure I Mr. Donald Ofu Obidima, Credit control Manager of
a Bank (name upheld)is writing you in respect of a foreign customer an
Oil consultant/contractor with the Nigerian National Petroleum
corporation,Engr.Lee Seunghyo made a numbered time (Fixed) Deposit for
twelve calendar months valued
at US$25,000,000.00 (Twenty-five Million Dollars) in my branch.

Upon maturity, I sent a routine notification to his forwarding address
but got no reply. After a month, we sent a reminder and finally we
discovered from his contract employers, the Nigerian National Petroleum
Corporation that Engr.Lee Seunghyo died in Korean Air Flight 801, which
crashed in Guam on August 1997 with other passengers onboard. I
therefore made further investigation and discovered that Engr. Lee
Seunghyo died without making a WILL, and all attempts to trace his next
of kin was fruitless.Also, he did not declare any next of kin
or relations in all his official documents,including his Bank Deposit
paperwork in my Bank.This sum of US$25,000,000.00 is still sitting in my
Bank and the interest is being rolled over with the principal sum at the
end of each year.

Since the demise of this our customer, I have personally watched the
account with keen interest to see the next of kin but all has proved
abortive as no one has come to claim his FIXED DEPOSIT fund of
USD.$25million, [Twenty five million United States Dollars] which has
been with my branch for a very long time. Since his
death, none of his next-of-kin or relations has come forward to lay
claims for this money asthe heir.

A member of our government trade delegation to your country gave your
impeccable profile to me. Hence I have decided to seek your co-operation
in this business deal due to the sensitivity of this transaction. It may
interest you to know that I am only contacting you as a foreigner
because this money cannot be approved to a local Bank account here, but
can only be approved to a foreigner with an account since the money is
in US Dollars. I have decided as a matter of urgency upon this discovery
now seek your permission to have you stand as next of kin to the
deceased Engr. Lee Seunghyo as No one has ever come forward to claim
this fund.

In accordance to Nigerian Law, fund deposited for a long period of time
without claim will be reverted to the Nigerian Government treasury if
nobody applies to claim this fund after a long period of time. I want
you to co-operate with me so that the fruits of this man's labour will
not get into the hands of some unsrupulous corrupt government officials
if NOT CLAIMED now. I have secured from the probate an Order of Madamus
to locate any of deceased beneficiaries. Hence I am contacting you with
this proposal.

This is simple, I will like you to provide immediately the following
below:

1.full names and address
2.Date of Birth
3.Tel & Fax Numbers

So that the Attorney will prepare the necessary documents and affidavits
which will put you in place as the next of kin. We shall employ the
services of two Attorneys for drafting and notorization of the WILL and
to obtain the necessary documents and letter of probate/administration
in your favour for the transfer.

The Bank cannot release the fund from his account unlesssomeone applies
for claim as the next-of-kin to the deceased as indicated in our banking
guidelines. I have almost resolved to finalize this transaction with
some money to secure documents in your name as the bonafide beneficiary
of this fund $25m which guarantees our safety and successful transfer.
With the above suggestion, It is reliable,safe and quick for transfer
process.

At the successful conclusion of this business, your goodself shall be
entitled to have 40% that is, USD$10m of the total money while I will
have 55% that is USD$13.750m and 5% that is USD$1.250m for
communications and other expenses. I am ready to invest a reasonable
percentage of mine into any viable business you suggest as a joint
partner.

Your response is highly imperative as this is a TWO-man business deal
transaction as I shall then provide you with more details and relevant
documents that will help you understand the transaction. I need your
assistance and co-operation to this reality as I have done my Home-work
and fine tune the best way to create you as all the paperwork for this
transaction will be done by the Attorney and my position as the Branch
Manager guarantees the successful execution of this transaction with you
as the beneficiary to this fund. Your percentage will also be a source
of upliftment.You have absolutely nothing to LOSE in assisting me
instead, you have so much to GAIN. Be rest assured that this transaction
would be most profitable for both of us.

I will appreciate your early reply for commencement of business.Contact
me for acknowledgement by E-mail and whereby you are not interested,
please indicate in your reply so that I can seek for the assistance of
someone else.

Thanks for your expected co-operation and treat ASAP as your utmost
Trust,Honesty and Confidentiality will be highly appreciated in this
business deal transaction.

Thanks with great regards.

Mr. Donald Ofu Obidima",Phishing
For Urgent Response,"ATTN  PLS;

Recently over the BBC radio and tv you 
might be watching and hearing on the 
media , issue partaining to my family.
 
I am Mrs J. Taylor the Wife of the Formal 
liberian president Charles Taylor Who 
has been in exile to (Nigeria) a country 
in West African since the political unrest 
in the liberian country, My  Husband  
has been in the West African Country for 
an assylom,but of recent the United 
Nation (UN) demanded that he should 
be tried befor the liberian court of law 
he has been reminded.
 
Right now,the life of mine and all my 
family is not certain the nation is 
treatning to treat my family in an 
un-Godly manner.
 
 Please first and formost, I need your 
assistant to help my helpless family to 
secure this part of my family account, 
hence some of my  Husbands account 
has been frozeen by the present 
administration.
 
However, my family decided to search 
for a good samaritan like you who can 
help to secure this sum of $30.270,000,00 
(thirty million two and seventy 
thounsand) (US) dollars.
 
 Which is rightly kept in an unsecured 
enviroment,I belive you are the only one 
who can help in securing this fund to 
avoid it from been discorvered and 
confisticated by this present administration, 
my family promise to reward you with 
20% of this found after you recieve it I
 pray God will reward you as you see 
my family through from this situation.
 
Please reply to: jeandcine@yahoo.co.uk
as soon as you recieve this email
 
Thanks and God Bless
 Mrs Jewel Taylor.",Phishing
URGENT RESSPOND,"Dear Friend,

I got your e-mail contacts from computerised datas after my extensive search 
via the website for a God-fearing and trust-worthy person to  bestow this 
transaction which is the only hope of our survival into his or her 
hands.When i got your address,I prayed and meditated fervently over it and i 
commited it into the hands of God that you should be the rightful person to 
help us out before I made up my decision to contact you.I am The Manager of 
Auditing Department of Our Bank ,Ouagadougou Burkina Faso.In my department 
we discovered an abandoned  sum of USD$15.m(Fifteen   million  united states 
dollars). In an account that belongs to this our foreign customer who died 
along with his wife and and children in the plane crash.Since we got 
information about his death,
we have been expecting his next of kin to come over and claim his money 
because
we cannot release it unless somebody applies for it as the next of kin or 
relation to the deceased, as indicated in our banking guidelines but 
unfortunately we learnt that all his supposed next of kin or relation died 
alongside with him in the plane crash leaving nobody behind for the claim.It 
is therefore upon this discovery that I decided to make this usiness

proposals to you and release the money to you as next of kin or relation to 
the deceased for safety and subsequent disbursement since nobody is coming 
for it because I don't want this money to go into the bank treasury as 
unclaimed Bill. The banking law and guidelines here stipulates that if such 
money remains unclaimed after five years, the money will be transferred into 
the bank treasury as unclaimed fund.The request of foreigner in this 
transaction is necessary because our late customer was a foreigner and a 
Burkinabe cannot stand as next of kin to a foreigner,I agree that 30% of 
this money will be for you as foreigner partner in respect to the provision 
of a foreign account. 10% will be set aside for expenses incurred during the 
business and 60% would be for me ,

After which I shallvisit your country for disbursement according to the 
percentages indicated.Therefore to enable the immediate transfer of this 
fund to you as I have arranged,you will furnished me with a good receiving 
account details where
the money will betransfered,your private tel and fax number for easy 
communication.
Upon receipt of your reply, I will send to you by fax or e-mail a text of 
the application which you shall retype and fax to our foreign remittance 
manager,for easy execution of the transaction.I will not fail to bring to 
your notice that this transaction is 100% hitch-free on both side. As all 
required arrangement have been made for the transfer and more so all the 
documents backing this claim will be supplied to you after you might have 
applied.Please I would like you you keep this transaction confidential and 
as a top secret as you may wish to know that I am a senior Bank 
official.Trusting to hear from you immediately.

Yours Sincerely,

Mr. kaburo  musa",Phishing
TRUST TRANSACTION,"Dear Sir, A Very Good day to you I am Mrs Mariam Abacha. I got your contact from a close Associate of mine who works with the Nigerian Chamber of Commerce and Industry who visited your country for an International Trade Fair upon my quest for a trusted and reliable foreign businessman or company. He however gave me the assurance that you can be trusted to handle a transaction of this magnitude. Following the sudden death of my husband General Sani Abacha the late Former Head of State of Nigeria in 1998, I have been thrown into a state of utter confusion, frustration and hopelessness by the present civilian administration, I have been subjected to physical and psychological torture by the security agents in the country. As a widow that is so traumatized, I have lost confidence with anybody within the country. You must have heard over the media reports and the internet on the recovery of various huge sums of money deposited by my husband in different security firms abroad, some companies willingly give up their secrets and disclosed our money confidently lodged there or many outright blackmail. In fact the total sum discovered by the Government so far is in the tune of $700. Million dollars. And they are not relenting to make me poor for life. I will give you more information as to this regard as soon as you reply. I repose great confidence in you hence my approach to you due to security network placed on my day to day affairs I cannot afford to visit the embassy so that is why I decided to contact you and I hope you will not betray my confidence in you. I have deposited the sum of US$35 million dollars with a security firm abroad whose name is withheld for now until we open communication. I shall be grateful if you could receive this fund into your account for safekeeping. This arrangement is known to you and my family lawyer who shall deal directly with you as I am still under house arrest. I am seriously considering to settle down abroad as soon as this fund get into your account so that I can start all over again if only you wish, but if it is possible, just help me in diverting this funds into your bank account which will accrue you 20% of this fund. Please honesty is the watchword in this transaction. And should you accept my terms, kindly send me an email signifying your interest to my email box as this is only safe for me now so that we can commence communication immediately. And upon receipt of your message of interest, I shall give you a more detailed picture of things. In case you don't accept please do not let me out to the security as I am giving you this information in total trust and confidence.NO RISK IS INVOLVED AS IAM STILL IN CONTROL OF MY HUSBANDS AFFAIRS. I will greatly appreciate if you accept my proposal in good faith. Please expedite action. Prefer all further correspondence be sent via presidentwifeng@indiatimes.com but please copy this email:profadams@ usa.com sincerely yours Hajia Mariam Abacha.",Phishing
URGENT,"AN URGENT BUSINESS PROPOSAL I am pleased to get across to you for a very urgent and profitable Business proposal, though I don't know you neither have I seen you before but my confidence was reposed on you when the Chief Executive of Lagos State chamber of Commerce and Industry handed me your contact for a confidential business. I am a Staff of United Bank for Africa (UBA),Ilupeju branch, Lagos Nigeria. The intended business is thus; we had a customer, a Foreigner (a Turkish) resident in Nigeria, he was a Contractor with one of the Government Parastatals. He has in his Account in my branch the sum of US$21.5 Million (Twenty One Million Five Hundred ThousandU.S.Dollars).Unfortunately, the man died four years ago until today non-of his next of kin has come forward to claim the money. Having noticed this, I in collaboration with two other top Officials of the bank we have covered up the account all this while. Now we want you (being a foreigner) to be fronted as one of his next of kin and forward your account and other relevant documents to be advised to you by us to attest to the Claim. We will use our positions to get all internal documentations to back up the claims .The whole procedures will last only ten working days to get the Fund retrieved successfully Without trace even in future. Your response is only what we are waiting for as we have arranged all necessary things. As soon as this message comes to you kindly get back to me indicating your interest ,Then I will furnish you with the whole procedures to ensure that the deal is successfully Concluded. For your assistance we have agreed to give you thirty percent (30%) of the Total sum at the end of the transaction. It is risk free and a mega fortune. All correspondence towards this transaction will be through the e-mail addresses, Telephone and Fax, until the end of the transaction when we will meet for the sharing of the money based on this agreed percentage. Please reply urgently by e-mail, fax or call me on my private telephone numbers as stated above. I await your earliest response. Thanks, Yours Sincerely MARTIN CHIME",Phishing
MICHAEL!,"My Dear ,

Good day.This very confidential request should come as a surprise to you.But it is because of the nature of what is happening to me and my family urged me to contact you, and I quite understand that this is not the best way to contact you because of the nature of my request and the attention it requires.I got your contact information from your country's information directory during my desperate search for someone who can assist me secretly and confidentially in relocating and managing some family fortunes.

My name is Mr.Michael Kamah, the second son of Mr.Smith  Kamah, of Beitbridge Zimbabwe.At the height of the present political crises in our country,in which the white farmers in our country are being slained and ripped off their belongings by the supporters of our president,Mr.Robert G.Mugabe,in their efforts to reclaim all the white owned farms in our country,my father and my elder brother were brutally slained to a painful death on the 13th of february,2002, in their struggle to protect some white farmers who ran to take refuge in our house.My father,during his life on earth was a prominent business man who trades on diamond and gold from some foreign countries .He publicly opposes the crude policies and crime against humanity on the white farmers by Mr.Robert Mugabe and his followers,which they enforced media law restrictions to protect their wicked acts.That not being enough,the president and his followers after winning the last undemocratic elections decided to block an!
d confiscate all accounts and assets of our black indigenes[that included my fathers assets and accounts] who oppose his policies and render support to these white farmers,along with the assets of these white farmers themselves,that are being presently confiscated.I therefore decided to move my mother and younger sister to the Republic of South Africa,where we presently live without anything and without any source of livelyhood.

During my fathers life on earth,he had deposited the sum of Seven Million and Four Hundred Thousand United States Dollars[$7.400.000.00],in a trunk box with a Finance and Security Company in the Republic of Togo for a cash and carry Diamond and Gold business with some foreign business customers, awaiting instructions to be moved to its destination,which he never completed before he met his untimely death on that faithful day.In view of this and as the only survivin",Phishing
